day,demography,asymptomatic,infected,hosp,icu,recovered,death
2020-03-18,f_0,93920.0,11335,17,2,35,0
2020-03-18,h_0,118350.0,13802,23,4,39,0
2020-03-18,f_20,41250.0,2520,21,3,36,0
2020-03-18,h_20,48470.0,2900,29,6,40,1
2020-03-18,f_30,61990.0,3201,48,8,42,0
2020-03-18,h_30,65370.0,3201,64,16,47,1
2020-03-18,f_40,80370.0,3970,86,17,50,2
2020-03-18,h_40,92140.0,4313,115,36,57,3
2020-03-18,f_50,81020.0,4153,173,41,71,2
2020-03-18,h_50,89390.0,4388,234,91,81,2
2020-03-18,f_60,54040.0,2808,248,69,60,8
2020-03-18,h_60,57770.0,2880,336,151,68,9
2020-03-18,f_70,42050.0,2183,291,71,49,19
2020-03-18,h_70,41640.0,2074,394,155,55,23
2020-03-18,f_80,24710.0,1325,351,29,36,65
2020-03-18,h_80,17660.0,908,475,65,40,81
2020-03-19,f_0,90350.0,11308,19,2,49,0
2020-03-19,h_0,114970.0,13927,26,6,51,0
2020-03-19,f_20,37010.0,2785,26,3,60,1
2020-03-19,h_20,45330.0,3303,37,8,61,1
2020-03-19,f_30,58890.0,4285,72,11,69,0
2020-03-19,h_30,64030.0,4419,99,27,72,1
2020-03-19,f_40,78730.0,5192,126,23,78,3
2020-03-19,h_40,92880.0,5859,175,57,81,3
2020-03-19,f_50,78180.0,5207,243,63,121,4
2020-03-19,h_50,88770.0,5641,337,153,125,6
2020-03-19,f_60,52700.0,3628,359,87,90,14
2020-03-19,h_60,58080.0,3795,496,211,93,19
2020-03-19,f_70,41080.0,2899,433,97,89,34
2020-03-19,h_70,41960.0,2810,598,234,92,44
2020-03-19,f_80,23700.0,1860,552,36,71,102
2020-03-19,h_80,17460.0,1300,762,89,73,134
2020-03-20,f_0,86280.0,12813,20,2,59,0
2020-03-20,h_0,112950.0,15568,27,5,59,0
2020-03-20,f_20,34830.0,3806,33,3,72,0
2020-03-20,h_20,42750.0,4324,45,9,74,1
2020-03-20,f_30,54650.0,5702,89,15,88,0
2020-03-20,h_30,60010.0,5862,122,38,90,1
2020-03-20,f_40,74760.0,6875,155,28,95,3
2020-03-20,h_40,88830.0,7640,212,69,97,3
2020-03-20,f_50,75490.0,6758,293,71,143,5
2020-03-20,h_50,86400.0,7207,400,178,145,7
2020-03-20,f_60,50970.0,4700,432,101,113,17
2020-03-20,h_60,56510.0,4860,590,254,114,22
2020-03-20,f_70,39420.0,3640,505,108,110,44
2020-03-20,h_70,40500.0,3490,690,269,111,58
2020-03-20,f_80,22700.0,2299,634,37,95,122
2020-03-20,h_80,16820.0,1587,864,94,97,161
2020-03-21,f_0,78920.0,12844,20,2,59,0
2020-03-21,h_0,104570.0,15606,27,5,59,0
2020-03-21,f_20,33940.0,4046,35,5,81,0
2020-03-21,h_20,41760.0,4720,49,12,80,1
2020-03-21,f_30,51520.0,6551,102,17,110,0
2020-03-21,h_30,57550.0,6791,141,44,110,1
2020-03-21,f_40,70570.0,8092,182,35,116,3
2020-03-21,h_40,85210.0,9067,251,88,115,3
2020-03-21,f_50,71820.0,8092,350,80,173,7
2020-03-21,h_50,83420.0,8688,481,204,171,9
2020-03-21,f_60,48280.0,5507,505,116,144,21
2020-03-21,h_60,54340.0,5722,693,294,142,29
2020-03-21,f_70,36970.0,4407,610,128,138,56
2020-03-21,h_70,38580.0,4254,839,326,137,76
2020-03-21,f_80,21120.0,2701,743,42,119,148
2020-03-21,h_80,15900.0,1879,1021,106,118,200
2020-03-22,f_0,75250.0,12848,23,2,64,0
2020-03-22,h_0,99900.0,16591,33,4,63,0
2020-03-22,f_20,31830.0,4424,44,5,90,0
2020-03-22,h_20,39230.0,5028,60,12,90,1
2020-03-22,f_30,48350.0,6759,121,20,128,1
2020-03-22,h_30,53900.0,7039,168,52,126,1
2020-03-22,f_40,67990.0,8431,218,40,141,4
2020-03-22,h_40,82230.0,9521,303,102,140,5
2020-03-22,f_50,70370.0,8466,421,95,198,7
2020-03-22,h_50,81700.0,9159,583,243,196,9
2020-03-22,f_60,46640.0,5625,593,133,171,28
2020-03-22,h_60,52510.0,5918,824,338,169,37
